#GENE	ALL_0.1%	%ALL_0.1%
MPDZ	1.39	94.64
MPEG1	0.16	64.96
MPG	-0.84	11.18
MPHOSPH10	1.87	97.2
MPHOSPH6	0.46	78.28
MPHOSPH8	-0.24	36.23
MPHOSPH9	-0.21	37.74
MPI	-0.16	42.06
MPL	-0.53	20.82
MPLKIP	NA	NA
MPND	0.17	65.96
MPO	-0.15	42.3
MPP1	-0.18	40.16
MPP2	-1.02	8
MPP3	-0.38	28.11
MPP4	-0.46	23.57
MPP5	0.47	78.74
MPP6	-0.09	46.74
MPP7	-0.82	11.88
MPPE1	0.4	76.36
MPPED1	-0.58	18.44
MPPED2	-0.23	36.86
MPRIP	-1.3	4.93
MPST	NA	NA
MPV17	-0.27	33.97
MPV17L	NA	NA
MPV17L2	0.04	56.64
MPZ	-0.21	38.28
MPZL1	-0.32	31.46
MPZL2	-0.05	50.01
MPZL3	0.51	80.01
MR1	0.49	79.38
MRAP	0.37	75.29
MRAP2	-0.23	36.86
MRAS	-0.14	42.88
MRC1	NA	NA
MRC2	-1.16	6.09
MRE11A	0.04	57.41
MREG	0.17	65.56
MRFAP1	-0.21	38.28
MRFAP1L1	0.13	62.74
MRGPRD	0.66	84.55
MRGPRE	0.17	65.96
MRGPRF	-0.2	38.82
MRGPRG	1.06	91.38
MRGPRX1	0.69	85.18
MRGPRX2	1.75	96.67
MRGPRX3	1.46	95.23
MRGPRX4	1.86	97.18
MRI1	0.51	80.2
MRM1	0.22	68.27
MRO	0.28	71.41
MROH2A	NA	NA
MRP63	0.33	73.11
MRPL1	0.28	71.41
MRPL10	-0.1	46.49
MRPL11	-0.05	49.76
MRPL12	0.04	56.92
MRPL13	0.06	58.53
MRPL14	-0.14	42.88
MRPL15	0.28	71.41
MRPL16	0.6	82.66
MRPL17	0.08	59.76
MRPL18	0.33	73.11
MRPL19	-0.29	32.94
MRPL2	-0.56	19.31
MRPL20	0.13	62.74
MRPL21	0.95	90.01
MRPL22	-0.14	43.57
MRPL23	1.11	91.99
MRPL24	0.5	79.89
MRPL27	-0.09	46.74
MRPL28	1.02	90.98
MRPL3	-0.09	46.92
MRPL30	0.5	79.89
MRPL32	0.28	71.27
MRPL33	-0.01	52.85
MRPL34	NA	NA
MRPL35	0.37	75.12
MRPL36	-0.07	48.12
MRPL37	0.02	55.61
MRPL38	0.02	55.69
MRPL39	0.22	68.44
MRPL4	0.2	67.3
MRPL40	0.08	60.09
MRPL41	0.04	56.64
MRPL42	-0.25	35.42
MRPL43	-0.05	50.01
MRPL44	-0.27	34.6
MRPL45	0.17	65.76
MRPL46	0.66	84.44
MRPL47	0.44	77.57
MRPL48	0.01	54.95
MRPL49	-0.01	53.19
MRPL50	0.1	61.49
MRPL51	0.15	64.11
MRPL52	0.57	81.89
MRPL53	0.75	86.48
MRPL54	-0.1	46.49
MRPL55	0.28	71.27
MRPL9	1.02	90.86
MRPS10	-0.03	51.66
MRPS11	-0.09	46.74
MRPS12	-0.14	43.29
MRPS14	-0.23	36.86
MRPS15	-0.09	46.74
MRPS16	0.19	66.82
MRPS17	0.24	68.98
MRPS18A	-0.16	41.64
MRPS18B	-0.05	50.01
MRPS18C	0.17	65.33
MRPS2	0.6	82.74
MRPS21	0.92	89.61
MRPS22	0.44	77.7
MRPS23	-0.32	31.46
MRPS24	0.57	81.89
MRPS25	0.13	62.74
MRPS26	NA	NA
MRPS27	0.49	79.38
MRPS28	0.9	89.39
MRPS30	0.75	86.71
MRPS31	0.04	57.15
MRPS33	0.15	64.11
MRPS34	NA	NA
MRPS35	-0.18	40.36
MRPS36	-0.01	52.85
MRPS5	-0.24	36.17
MRPS6	0.06	58.26
MRPS7	0.73	86.08
MRPS9	0.4	76.31
MRRF	0.19	67.03
MRS2	0.31	72.66
MRTO4	-0.34	30.37
MRVI1	2.07	97.82
MS4A1	-0.32	31.46
MS4A10	0.35	74.49
MS4A12	0.22	68.13
MS4A13	0.53	80.58
MS4A14	1.74	96.63
MS4A15	0.71	85.53
MS4A2	0.91	89.44
MS4A3	-0.14	43.29
MS4A4A	0.24	69.21
MS4A4E	NA	NA
MS4A5	0.84	88.23
MS4A6A	0.48	79.25
MS4A6E	0.44	77.57
MS4A7	1.04	91.21
MS4A8B	-0.27	34.32
MSANTD1	NA	NA
MSANTD2	-0.45	24
MSANTD3	-0.07	48.12
MSANTD4	-0.34	30.07
MSC	0.19	66.57
MSGN1	0.17	65.56
MSH2	-2.03	1.68
MSH3	-0.08	47.26
MSH4	0.2	67.43
MSH5	0.13	63.57
MSH6	-2.25	1.28
MSI1	-0.16	41.64
MSI2	0.13	63
MSL1	-0.05	49.76
MSL2	-0.53	20.7
MSL3	-0.23	37.32
MSLN	0.73	85.99
MSLNL	NA	NA
MSMB	0.01	54.63
MSMO1	0.7	85.42
MSMP	0.37	74.95
MSN	-0.23	36.86
MSR1	0	54.03
MSRA	-0.96	9.09
MSRB1	0.06	58.26
MSRB2	0.66	84.35
MSRB3	-0.45	24
MSS51	0.47	78.8
MST1	-0.42	25.79
MST1R	-1.78	2.29
MST4	-0.14	43.29
MSTN	0.66	84.55
MSTO1	NA	NA
MSX1	NA	NA
MSX2	NA	NA
MT1A	0.57	81.78
MT1B	0.41	76.67
MT1E	0.44	77.45
MT1F	0.61	83.07
MT1G	0.06	58
MT1H	1.12	92.12
MT1HL1	NA	NA
MT1M	0.35	73.97
MT1X	0.24	68.72
MT2A	0.12	62.38
MT3	0.32	72.94
MT4	0.66	84.27
MTA1	-1.06	7.52
MTA2	-1.02	7.94
MTA3	-0.6	17.91
MTAP	-0.38	27.69
MTBP	0.83	88.09
MTCH1	-0.19	39.68
MTCH2	0.64	83.78
MTCP1	0.15	63.81
MTCP1NB	0.28	70.87
MTDH	-0.42	25.56
MTERF	0.4	76.31
MTERFD1	0.55	81.55
MTERFD2	0.24	69.37
MTERFD3	0.64	83.9
MTF1	7.61E-05	53.98
MTF2	-0.56	19.54
MTFMT	0.71	85.53
MTFP1	-0.14	43.29
MTFR1	-0.27	34.32
MTG1	-0.58	18.72
MTHFD1	0.38	75.63
MTHFD1L	-0.35	29.54
MTHFD2	-0.23	36.86
MTHFD2L	-0.36	28.93
MTHFR	0.09	60.71
MTHFS	0.04	56.64
MTHFSD	1.31	94.02
MTIF2	-0.89	10.46
MTIF3	0.51	80.01
MTL5	0.55	81.48
MTM1	-0.52	21.2
MTMR1	-0.09	46.74
MTMR10	0.38	75.58
MTMR11	0.31	72.75
MTMR12	0.13	63.57
MTMR14	-0.91	9.96
MTMR2	0.33	73.54
MTMR3	-0.9	10.16
MTMR4	-0.55	19.93
MTMR6	0.95	90.09
MTMR7	-1.13	6.56
MTMR8	-0.77	13.1
MTMR9	-0.82	11.94
MTNR1A	0.22	68.38
MTNR1B	-0.02	52.15
MTO1	-0.2	39.17
MTOR	-3.49	0.34
MTPAP	-0.18	40.36
MTPN	0.08	59.43
MTR	0.25	69.7
MTRF1	0.64	83.98
MTRF1L	0.04	56.92
MTRNR2L1	NA	NA
MTRNR2L10	NA	NA
MTRNR2L2	NA	NA
MTRNR2L3	NA	NA
MTRNR2L4	NA	NA
MTRNR2L5	NA	NA
MTRNR2L6	NA	NA
MTRNR2L7	NA	NA
MTRNR2L8	NA	NA
MTRNR2L9	NA	NA
MTRR	1.43	95
MTSS1	-0.82	11.94
MTSS1L	-1.55	3.27
MTTP	1.43	94.99
MTUS1	2.1	97.87
MTUS2	0.53	80.59
MTX1	NA	NA
MTX2	0.06	58.26
MTX3	0.51	80.01
MUC1	NA	NA
MUC12	NA	NA
MUC13	NA	NA
MUC15	0.71	85.53
MUC16	29.75	100
MUC17	16.95	99.98
MUC2	NA	NA
MUC20	NA	NA
MUC21	2.44	98.56
MUC22	NA	NA
MUC4	6.32	99.86
MUC5B	16.52	99.98
MUC6	1.26	93.57
MUC7	2.46	98.58
MUCL1	-0.16	41.25
MUL1	0.02	55.61
MUM1	-0.66	16.02
MUM1L1	0.24	69.37
MURC	-0.31	32.06
MUS81	0.78	87.21
MUSK	0.52	80.34
MUSTN1	0.37	74.95
MUT	0.2	67.36
MUTED	-0.21	38.58
MUTYH	0.11	62.1
MVD	-1.06	7.52
MVK	-0.2	38.98
MVP	-0.81	12.05
MX1	-0.39	27.05
MX2	-0.35	29.56
MXD1	-0.32	31.46
MXD3	NA	NA
MXD4	-0.25	35.42
MXI1	-0.21	38.58
MXRA5	1.57	95.68
MXRA7	NA	NA
MXRA8	NA	NA
MYADM	-0.29	32.94
MYADML2	0.75	86.41
MYB	0.09	60.57
MYBBP1A	2.3	98.33
MYBL1	-0.29	33.34
MYBL2	0.18	66.13
MYBPC1	-1.17	6.03
MYBPC2	2.37	98.45
MYBPC3	-0.53	20.54
MYBPH	-0.27	34.82
MYBPHL	0.6	82.83
MYC	0	53.73
MYCBP	0.1	60.96
MYCBP2	NA	NA
MYCBPAP	2.01	97.68
MYCL1	-0.09	46.74
MYCN	-0.38	27.42
MYCT1	0.55	81.38
MYD88	-0.34	30.07
MYEF2	-0.07	48.54
MYEOV	1.95	97.55
MYEOV2	0.51	80.01
MYF5	-0.54	20.26
MYF6	0.04	56.64
MYH1	-1.08	7.25
MYH10	-2.08	1.6
MYH11	-3.1	0.47
MYH13	-0.64	16.74
MYH14	-2.24	1.31
MYH15	0.46	78.6
MYH2	-2.09	1.57
MYH3	-1.55	3.23
MYH4	0.14	63.62
MYH6	-2.78	0.66
MYH7	-3.64	0.28
MYH7B	-0.89	10.17
MYH8	-0.69	15.27
MYH9	-1.99	1.75
MYL1	-0.05	50.01
MYL10	-0.41	26.23
MYL12A	0.04	56.25
MYL12B	0.04	56.25
MYL2	-0.27	33.97
MYL3	-0.38	27.42
MYL4	0.04	56.92
MYL5	1.37	94.49
MYL6	0.28	71.08
MYL6B	-0.32	31.46
MYL7	0.17	65.56
MYL9	-0.16	41.25
MYLIP	0.35	74.49
MYLK	-0.32	30.93
MYLK2	-0.24	36.23
MYLK3	-1.26	5.28
MYLK4	0.42	77.06
MYLPF	-0.27	33.97
MYNN	-0.31	31.93
MYO10	-1.61	2.97
MYO15A	-1.26	5.35
MYO16	0.06	58.53
MYO18A	-1.62	2.9
MYO18B	1.21	93.02
MYO19	0.52	80.4
MYO1A	0.79	87.31
MYO1B	-1.22	5.67
MYO1C	-1.11	6.63
MYO1D	-0.64	16.71
MYO1E	-1.14	6.38
MYO1F	-1.83	2.12
MYO1G	-0.83	11.51
MYO1H	-0.55	20
MYO3A	1	90.66
MYO3B	2.33	98.38
MYO5A	-1.41	4.15
MYO5B	-0.37	28.21
MYO5C	0.31	72.39
MYO6	-0.37	28.26
MYO7A	-2.51	0.93
MYO7B	1.02	90.92
MYO9A	-0.7	14.79
MYO9B	-0.86	10.93
MYOC	-0.13	43.91
MYOCD	-0.68	15.39
MYOD1	-0.14	43.29
MYOF	-0.44	24.68
MYOG	0.55	81.38
MYOM1	0.56	81.68
MYOM2	-0.5	21.84
MYOM3	1.16	92.65
MYOT	-0.31	32.06
MYOZ1	-0.63	17.03
MYOZ2	-0.27	33.97
MYOZ3	0.39	76.05
MYPN	0.81	87.76
MYPOP	NA	NA
MYRIP	-0.73	14.24
MYSM1	0.16	64.82
MYT1	-1.63	2.85
MYT1L	-1.51	3.54
MYZAP	NA	NA
MZB1	0.06	58.53
MZF1	1.25	93.47
MZT1	0.17	65.33
MZT2A	NA	NA
MZT2B	NA	NA
N4BP1	-0.53	20.7
N4BP2	0.95	89.92
N4BP2L1	0.13	62.74
N4BP2L2	1.83	97.03
N4BP3	-0.47	23.51
N6AMT1	0.73	86.08
N6AMT2	0.04	56.92
NAA10	-0.03	51.04
NAA11	0.01	54.95
NAA15	-0.89	10.3
NAA16	-0.78	13.05
NAA20	-0.16	41.25
NAA25	-0.11	45.36
NAA30	-0.16	41.64
NAA35	-0.14	43.77
NAA38	0.08	59.43
NAA40	-0.47	23.25
NAA50	-0.03	51.04
NAA60	-0.23	37.11
NAAA	1.75	96.67
NAALAD2	0.07	59.04
NAALADL1	-1.01	8.16
NAALADL2	1.34	94.29
NAB1	-0.49	22.36
NAB2	-0.03	51.92
NABP1	-0.3	32.62
NABP2	-0.14	42.88
NACA	1.65	96.18
NACA2	0.95	90.01
NACAD	NA	NA
NACC1	-0.2	38.82
NACC2	NA	NA
NADK	-0.11	45.36
NADKD1	0.53	80.73
NADSYN1	-0.21	37.78
NAE1	-0.27	34.6
NAF1	0.53	80.73
NAGA	-0.31	32.06
NAGK	-0.49	22.36
NAGLU	-0.75	13.67
NAGPA	0	54.03
NAGS	-0.34	30.07
NAIF1	0.04	56.92
NAIP	NA	NA
NALCN	-1.61	2.98
NAMPT	-0.3	32.62
NANOG	0.24	68.98
NANOGNB	0.81	87.76
NANOS1	NA	NA
NANOS2	-0.03	51.4
NANOS3	0.04	56.25
NANP	-0.4	26.53
NANS	0.42	77.06
NAP1L1	-0.25	35.42
NAP1L2	-0.12	44.89
NAP1L3	0.13	63.2
NAP1L4	-0.16	41.91
NAP1L5	-0.32	31.46
NAPA	-0.03	51.66
NAPB	-0.07	48.12
NAPEPLD	0	53.73
NAPG	-0.21	38.58
NAPRT1	-1.02	8.1
NAPSA	-0.04	50.45
NARF	-1.15	6.23
NARFL	-0.11	45.61
NARG2	-0.82	12.01
NARS	-0.51	21.56
NARS2	-0.29	33.42
NASP	-0.18	40.56
NAT1	0.91	89.44
NAT10	-0.55	20.02
NAT14	NA	NA
NAT16	-0.29	32.94
NAT2	1.84	97.09
NAT6	0.35	74.49
NAT8	0.86	88.74
NAT8L	NA	NA
NAT9	0.44	77.57
NAV1	-1.6	3.01
NAV2	-1.56	3.22
NAV3	-2.05	1.65
NBAS	-0.22	37.33
NBEA	-1.89	1.98
NBEAL1	1.19	92.85
NBEAL2	-3.12	0.46
NBL1	0.01	54.95
NBN	1.64	96.17
NBPF10	NA	NA
NBPF12	NA	NA
NBPF15	NA	NA
NBPF16	NA	NA
NBPF20	NA	NA
NBPF24	NA	NA
NBPF3	3.6	99.53
NBPF4	NA	NA
NBPF6	NA	NA
NBR1	0.87	88.82
NCALD	0.08	59.76
NCAM2	-0.69	15.27
NCAN	-1.74	2.42
NCAPD2	-0.05	48.95
NCAPD3	-0.37	28.12
NCAPG	-0.42	25.83
NCAPG2	1.27	93.65
NCAPH	-0.31	32.17
NCAPH2	-0.22	37.66
NCBP1	-0.18	40.36
NCBP2	-0.05	49.39
NCBP2L	NA	NA
NCCRP1	NA	NA
NCDN	-0.98	8.75
NCEH1	0.09	60.47
NCF1	NA	NA
NCF2	1.31	94.01
NCF4	-0.78	12.97
NCK1	0.13	63
NCK2	-0.71	14.4
NCKAP1	-1.2	5.76
NCKAP1L	-0.46	23.69
NCKAP5	0.65	84.13
NCKAP5L	-0.79	12.62
NCKIPSD	-1	8.54
NCL	-0.69	15.27
NCLN	-0.6	18.14
NCOA1	-2.19	1.39
NCOA2	-1.03	7.86
NCOA3	-1.23	5.54
NCOA4	1.46	95.21
NCOA5	-0.96	9.17
NCOA6	-2.02	1.71
NCOA7	-0.2	39.21
NCOR1	-2.14	1.5
NCOR2	-2.6	0.82
NCR1	0	53.73
NCR2	1.24	93.39
NCR3	0.77	87.01
NCR3LG1	NA	NA
NCS1	-0.14	42.88
NCSTN	-0.58	18.72
NDC80	-0.22	37.43
NDE1	-0.82	11.77
NDEL1	0.06	58.53
NDFIP1	-0.16	41.25
NDFIP2	0.33	73.27
NDN	0.22	68.13
NDNF	-0.67	15.86
NDNL2	0.51	80.01
NDOR1	0.98	90.46
NDP	0.28	70.87
NDRG1	-0.27	34.71
NDRG2	0.04	57.15
NDRG3	-0.6	17.75
NDRG4	-0.78	12.88
NDST1	-1.75	2.36
NDST2	-1.7	2.52
NDST3	-1	8.47
NDST4	-0.04	50.5
NDUFA1	0.28	70.87
NDUFA10	0.06	58.53
NDUFA11	NA	NA
NDUFA12	-0.1	46.2
NDUFA13	-0.01	53.19
NDUFA2	0.19	66.57
NDUFA3	0.19	66.57
NDUFA4	-0.1	46.2
NDUFA4L2	-0.12	44.54
NDUFA5	-0.19	39.68
NDUFA6	0.46	78.28
NDUFA7	0.57	81.89
NDUFA8	-0.23	36.86
NDUFA9	0.31	72.6
NDUFAB1	-0.21	38.28
NDUFAF1	0.58	82.17
NDUFAF2	0.08	59.76
NDUFAF3	-0.25	35.42
NDUFAF4	0.01	54.95
NDUFAF5	-0.8	12.33
NDUFAF6	-0.16	41.64
NDUFB1	0.1	61.28
NDUFB10	-0.47	23.04
NDUFB11	-0.05	49.39
NDUFB2	-0.1	46.2
NDUFB3	0.21	67.72
NDUFB4	-0.12	44.54
NDUFB5	0.15	64.11
NDUFB6	0.13	62.74
NDUFB7	-0.34	30.07
NDUFB8	-0.18	39.95
NDUFB9	0.26	70.06
NDUFC1	0.06	58
NDUFC2	0.13	62.74
NDUFC2-KCTD14	0.33	73.11
NDUFS1	-0.89	10.43
NDUFS2	0.49	79.38
NDUFS3	-0.16	41.64
NDUFS4	-0.6	17.75
NDUFS5	-0.14	42.88
NDUFS6	-0.16	41.25
NDUFS7	-0.18	39.95
NDUFS8	-0.21	38.58
NDUFV1	-1.49	3.63
NDUFV2	0.13	63
NDUFV3	0.33	73.65
NEB	0.88	88.9
NEBL	0.57	81.75
NECAB1	-0.07	48.12
NECAB2	-0.13	44.09
NECAB3	NA	NA
NECAP1	-0.1	46.49
NECAP2	0.64	83.9
NEDD1	-0.56	19.73
NEDD4	0.3	71.71
NEDD4L	-1.2	5.79
NEDD8	0.1	60.96
NEDD9	-0.37	28.22
NEFH	0.25	69.57
NEFM	0.25	69.62
NEGR1	-0.27	34.6
NEIL1	0.8	87.54
NEIL2	0.13	63.57
NEIL3	2.16	98.01
NEK1	-0.08	47.2
NEK10	0.89	89.19
NEK11	0.47	78.83
NEK2	-0.31	31.93
NEK3	0.2	67.3
NEK4	-0.35	29.43
NEK5	1.07	91.67
NEK6	-0.36	28.93
NEK7	-0.03	51.4
NEK8	-1.24	5.41
NEK9	-0.42	25.83
NELF	-0.54	20.26
NELL1	0.21	67.52
NELL2	-0.62	17.47
NEMF	-1.7	2.54
NENF	NA	NA
NEO1	-1.3	4.95
NES	0.97	90.2
NET1	-0.55	19.8
NETO1	0.75	86.71
NETO2	-0.4	26.53
NEU1	-0.23	37.11
NEU2	0.13	63.49
NEU3	-0.13	43.91
NEU4	NA	NA
NEURL	NA	NA
NEURL1B	NA	NA
NEURL2	0.22	67.92
NEURL4	-0.18	39.96
NEUROD1	-0.12	45.13
NEUROD2	0.04	56.25
NEUROD4	0.88	89.07
NEUROD6	-0.27	33.97
NEUROG1	0.5	79.89
NEUROG2	0.26	70.06
NEUROG3	0.24	68.98
NEXN	-0.05	50.34
NF1	-3.09	0.47
NF2	-0.87	10.65
NFAM1	-0.14	43.77
NFASC	-1.8	2.21
NFAT5	-1.37	4.45
NFATC1	-1.85	2.05
NFATC2	-1.57	3.18
NFATC2IP	NA	NA
NFATC3	0.16	64.96
NFATC4	0.25	69.66
NFE2	-0.27	33.97
NFE2L1	-1.46	3.78
NFE2L2	0.04	57.31
NFE2L3	0.2	67.43
NFIA	-0.54	20.26
NFIB	-0.45	24
NFIC	-0.67	15.86
NFIL3	-0.03	51.92
NFIX	-0.27	33.97
NFKB1	-0.48	22.78
NFKB2	-0.78	12.88
NFKBIA	-0.27	34.32
NFKBIB	-0.56	19.73
NFKBID	-0.21	38.58
NFKBIE	NA	NA
NFKBIL1	0.04	56.64
NFKBIZ	-0.62	17.31
NFRKB	-2.65	0.76
NFS1	-0.43	25.37
NFU1	0.42	76.81
NFX1	-1.59	3.08
NFXL1	0.22	68.44
NFYA	-0.21	38.28
NFYB	0.1	60.96
NFYC	-0.43	25.15
NGB	0.17	65.33
NGDN	-0.22	37.43
NGEF	-0.33	30.82
NGF	0.11	61.73
NGFR	-0.2	38.82
NGFRAP1	-0.01	52.85
NGLY1	-0.55	19.8
NGRN	-0.05	50.22
NHEJ1	0.04	57.15
NHLH1	-0.01	52.85
NHLH2	0.12	62.38
NHLRC1	0.22	68.13
NHLRC2	0.67	84.61
NHLRC3	0.62	83.36
NHLRC4	0.1	61.28
NHP2	0.42	76.81
NHP2L1	0.04	56.25
NHS	-0.73	14.24
NHSL1	1.53	95.56
NHSL2	NA	NA
NICN1	-0.16	41.64
NID1	0.45	77.93
NID2	3.6	99.53
NIF3L1	-0.38	27.88
NIM1	-0.56	19.73
NIN	0.07	59.05
NINJ1	0.35	74.18
NINJ2	0.04	56.92
NINL	1.42	94.94
NIP7	-0.21	38.28
NIPA1	-0.32	31.46
NIPA2	-0.03	51.92
NIPAL1	0.6	82.66
NIPAL2	0.19	67.03
NIPAL3	-0.8	12.33
NIPAL4	0.13	63.49
NIPBL	-2.45	1.01
NIPSNAP1	-0.05	49.39
NIPSNAP3A	-0.07	48.35
NIPSNAP3B	1.35	94.35
NISCH	-2.31	1.2
NIT1	0.15	64.51
NIT2	-0.8	12.24
NKAIN1	0.06	58.26
NKAIN2	-0.16	41.25
NKAIN3	0.24	68.98
NKAIN4	1.1	91.96
NKAP	-0.25	35.42
NKAPL	1.82	96.97
NKD1	-0.82	11.77
NKD2	NA	NA
NKG2-E	NA	NA
NKG7	0.13	63
NKIRAS1	-0.08	47.79
NKIRAS2	-0.21	38.28
NKPD1	NA	NA
NKRF	-0.54	20.26
NKTR	0.1	60.76
NKX1-1	NA	NA
NKX1-2	NA	NA
NKX2-1	NA	NA
NKX2-2	0.51	80.01
NKX2-3	NA	NA
NKX2-4	NA	NA
NKX2-5	-0.1	46.49
NKX2-6	NA	NA
NKX2-8	NA	NA
NKX3-1	NA	NA
NKX3-2	NA	NA
NKX6-1	NA	NA
NKX6-2	NA	NA
NKX6-3	0.46	78.16
NLE1	0.31	72.66
NLGN1	-1.4	4.19
NLGN2	-1.02	7.94
NLGN3	-0.54	20.54
NLGN4X	-0.84	11.18
NLGN4Y	NA	NA
NLK	-0.49	22.09
NLN	-0.35	29.43
NLRC3	NA	NA
NLRC4	-0.6	18.21
NLRC5	0.51	80.3
NLRP1	2.71	98.94
NLRP10	0.05	57.52
NLRP11	-0.3	32.27
NLRP12	-0.45	24.22
NLRP13	0.06	58.27
NLRP14	1.79	96.88
NLRP2	1.2	92.96
NLRP3	-0.95	9.38
NLRP4	0.22	67.92
NLRP5	0.18	66.14
NLRP6	1.27	93.65
NLRP7	0.33	73.12
NLRP8	1.88	97.25
NLRP9	-0.1	45.68
NLRX1	0.19	66.58
NMB	0.41	76.67
NMBR	0.47	78.8
NMD3	-0.51	21.56
NME1	-0.12	44.54
NME1-NME2	-0.36	28.63
NME2	-0.19	39.68
NME3	NA	NA
NME4	-0.54	20.26
NME5	0.3	72.01
NME6	-0.41	26.23
NME7	-0.47	23.25
NME8	0.47	78.8
NME9	0.37	75.29
NMI	-0.49	22.36
NMNAT1	0.15	64.32
NMNAT2	-0.03	51.4
NMNAT3	0.08	60.31
NMRAL1	-0.07	48.78
NMRK1	0.84	88.23
NMRK2	0.24	69.37
NMS	0.26	70.06
NMT1	-0.56	19.31
NMT2	-0.21	38.58
NMU	0.48	79.04
NMUR1	0.27	70.58
NMUR2	1.38	94.53
NNAT	0.08	59.43
NNMT	-0.47	23.25
NNT	-0.39	27.03
NOA1	0.46	78.69
NOB1	-0.15	42.23
NOBOX	NA	NA
NOC2L	0.04	56.27
NOC3L	2.14	97.95
NOC4L	-1.28	5.17
NOD1	-0.46	23.73
NOD2	0.57	82.09
NODAL	-0.29	32.94
NOG	0.35	73.97
NOL10	0.31	72.6
NOL11	0.29	71.57
NOL12	-0.03	51.66
NOL3	0.13	62.74
NOL4	-0.67	15.76
NOL6	-0.23	36.36
NOL7	0.26	70.06
NOL8	1.87	97.22
NOL9	-0.69	15.2
NOLC1	-0.05	50.34
NOM1	1.16	92.65
NOMO1	NA	NA
NOMO2	NA	NA
NOMO3	NA	NA
NONO	0.1	61.28
NOP10	0.3	71.81
NOP14	0.57	81.73
NOP16	0.01	54.95
NOP2	0.38	75.63
NOP56	-0.44	24.53
NOP58	-0.47	23.25
NOP9	0.98	90.46
NOS1	-1.01	8.21
NOS1AP	0.02	55.45
NOS2	-1.68	2.69
NOS3	-1.1	6.97
NOSIP	-0.34	30.07
NOSTRIN	1.29	93.8
NOTCH1	-3.51	0.33
NOTCH2	-1.82	2.15
NOTCH2NL	0.66	84.27
NOTCH3	-1.29	5.04
NOTCH4	0.15	64.33
NOTO	NA	NA
NOTUM	-0.47	23.43
NOV	0.13	63
NOVA1	-0.69	14.97
NOVA2	-0.21	38.28
NOX1	0.42	77.16
NOX3	-0.49	22.7
NOX4	0.11	62.1
NOX5	1.58	95.79
NOXA1	0.76	86.8
NOXO1	0.24	69.37
NOXRED1	-0.4	26.53
NPAP1	3.55	99.49
NPAS1	NA	NA
NPAS2	-0.51	21.77
NPAS3	-1.35	4.6
NPAS4	-0.66	15.95
NPAT	0.63	83.58
NPB	NA	NA
NPBWR1	0.46	78.46
NPBWR2	-0.42	25.73
NPC1	-0.05	50.02
NPC1L1	1.38	94.54
NPC2	0.28	71.08
NPDC1	-0.29	33.34
NPEPL1	-0.73	14.14
NPEPPS	0.04	57.31
NPFF	0.1	61.28
NPFFR1	NA	NA
NPFFR2	0.36	74.63
NPHP1	0.07	58.96
NPHP3	-1.01	8.2
NPHP4	0.57	81.79
NPHS1	0.68	84.95
NPHS2	0.02	55.22
NPIP	NA	NA
NPIPA2	NA	NA
NPIPA3	NA	NA
NPIPA5	NA	NA
NPIPA7	NA	NA
NPIPA8	NA	NA
NPIPB15	NA	NA
NPIPB3	NA	NA
NPIPB6	NA	NA
NPIPB7	NA	NA
NPIPB8	NA	NA
NPL	-0.2	38.82
NPLOC4	-0.71	14.57
NPM1	-0.34	30.07
NPM2	0.39	76.05
NPM3	0.01	54.95
NPNT	1.8	96.93
NPPA	0.86	88.62
NPPB	0.53	80.58
NPPC	0.04	56.25
NPR1	-0.24	36.31
NPR2	-1.04	7.71
NPR3	0	53.73
NPRL2	-0.43	25.15
NPRL3	NA	NA
NPS	0.88	88.96
NPSR1	1.34	94.25
NPTN	-0.45	24
NPTX1	-0.29	33.2
NPTX2	NA	NA
NPTXR	NA	NA
NPVF	0.3	72.01
NPW	NA	NA
NPY	0.21	67.72
NPY1R	-0.18	39.95
NPY2R	-0.58	18.59
NPY5R	-0.14	43.29
NQO1	0.55	81.38
NQO2	0.46	78.59
NR0B1	-0.49	22.09
NR0B2	-0.03	51.92
NR1D1	-0.78	12.97
NR1D2	0.09	60.57
NR1H2	-0.49	22.51
NR1H3	-0.65	16.44
NR1H4	0.19	67.03
NR1I2	-0.55	19.86
NR1I3	-0.65	16.44
NR2C1	-0.51	21.41
NR2C2	-0.89	10.37
NR2C2AP	-0.08	47.79
NR2E1	-0.25	35.42
NR2F1	-0.34	30.07
NR2F2	-0.41	26.23
NR2F6	NA	NA
NR3C1	-0.16	42.16
NR3C2	-0.35	29.49
NR4A1	-1.24	5.41
NR4A2	-0.63	17.03
NR4A3	-0.34	30.07
NR5A1	-0.05	50.22
NR5A2	-0.29	33.2
NR6A1	-0.38	27.69
NRAP	3.12	99.27
NRARP	0.19	66.57
NRAS	0.01	54.63
NRBF2	0.53	80.58
NRBP1	-0.27	34.32
NRBP2	NA	NA
NRCAM	-1.37	4.51
NRD1	-1.04	7.84
NREP	0.72	85.92
NRF1	-0.45	24
NRG1	1.07	91.71
NRG2	NA	NA
NRG3	-0.46	23.57
NRG4	0.19	66.57
NRGN	NA	NA
NRIP1	1.39	94.64
NRIP2	-0.36	29.16
NRIP3	0.15	64.32
NRK	NA	NA
NRL	NA	NA
NRM	0.01	54.95
NRN1	0.15	64.11
NRN1L	0.91	89.44
NRP1	-0.48	22.75
NRP2	-1.08	7.28
NRSN1	-0.07	48.12
